Lslg: 15.3|v0: 0.0|PtbgT: 0.0|Hplg: 0.0|Ltbg: 0.0|PcsgT: 721853.1591796875|gasflow: 0.0|tempo: 0.0|Qlres: 0.0|pp: 0.0|stage: 1.0|PcsgB: 0.0|
Lslg: 15.3|v0: 0.0|PtbgT: 612981.2882460858|Hplg: 0.0|Ltbg: 0.0|PcsgT: 721853.1591796875|gasflow: 0.0|tempo: 0.01|Qlres: 0.0|pp: 640896.5880015199|stage: 3.0|PcsgB: 788859.2199810947|
Lslg: 15.3|v0: 0.0|PtbgT: 612981.2882460858|Hplg: 0.0|Ltbg: 0.0|PcsgT: 721853.1591796875|gasflow: 0.0|tempo: 0.02|Qlres: 0.0|pp: 640896.5880015199|stage: 3.0|PcsgB: 788859.2199810947|
Lslg: 15.3|v0: 0.0|PtbgT: 612981.2882460858|Hplg: 0.0|Ltbg: 0.0|PcsgT: 721853.1591796875|gasflow: 0.0|tempo: 0.03|Qlres: 0.0|pp: 640896.5880015199|stage: 3.0|PcsgB: 788859.2199810947|
Lslg: 15.3|v0: 0.0|PtbgT: 612981.2882460858|Hplg: 0.0|Ltbg: 0.0|PcsgT: 721853.1591796875|gasflow: 0.0|tempo: 0.04|Qlres: 0.0|pp: 640896.5880015199|stage: 3.0|PcsgB: 788859.2199810947|
Lslg: 15.3|v0: 0.0|PtbgT: 612981.2882460858|Hplg: 0.0|Ltbg: 0.0|PcsgT: 721853.1591796875|gasflow: 0.0|tempo: 0.05|Qlres: 0.0|pp: 640896.5880015199|stage: 3.0|PcsgB: 788859.2199810947|
Lslg: 15.3|v0: -0.052990713578964954|PtbgT: 612980.8557394143|Hplg: -4.468388684980452E-4|Ltbg: 0.005755913901089525|PcsgT: 725361.4329621488|gasflow: 14941.625341924866|tempo: 0.060000000000000005|Qlres: 25.069841177726286|pp: 640896.1355908179|stage: 3.0|PcsgB: 792693.1494781373|
Lslg: 15.3|v0: -0.08242946748334061|PtbgT: 612980.0267697525|Hplg: -8.947475437193325E-4|Ltbg: 0.012947842262717066|PcsgT: 729746.734462093|gasflow: 14934.777426287592|tempo: 0.07|Qlres: 25.058351386388576|pp: 640894.5721661046|stage: 3.0|PcsgB: 797485.5168407169|
Lslg: 15.3|v0: -0.1261984526584406|PtbgT: 612977.43979328|Hplg: -0.001216710764494157|Ltbg: 0.02301098925863501|PcsgT: 735886.0802629595|gasflow: 14925.151629663811|tempo: 0.08|Qlres: 25.042200720912433|pp: 640892.5623826219|stage: 3.0|PcsgB: 804194.7477668088|
Lslg: 15.3|v0: -0.1261984526584406|PtbgT: 612977.43979328|Hplg: -0.001216710764494157|Ltbg: 0.02301098925863501|PcsgT: 735886.0802629595|gasflow: 14925.151629663811|tempo: 0.09|Qlres: 25.042200720912433|pp: 640892.5623826219|stage: 3.0|PcsgB: 804194.7477668088|
Lslg: 15.3|v0: -0.1261984526584406|PtbgT: 612977.43979328|Hplg: -0.001216710764494157|Ltbg: 0.02301098925863501|PcsgT: 735886.0802629595|gasflow: 14925.151629663811|tempo: 0.09999999999999999|Qlres: 25.042200720912433|pp: 640892.5623826219|stage: 3.0|PcsgB: 804194.7477668088|
Lslg: 15.3|v0: -0.1261984526584406|PtbgT: 612977.43979328|Hplg: -0.001216710764494157|Ltbg: 0.02301098925863501|PcsgT: 735886.0802629595|gasflow: 14925.151629663811|tempo: 0.10999999999999999|Qlres: 25.042200720912433|pp: 640892.5623826219|stage: 3.0|PcsgB: 804194.7477668088|
Lslg: 15.3|v0: -0.1261984526584406|PtbgT: 612977.43979328|Hplg: -0.001216710764494157|Ltbg: 0.02301098925863501|PcsgT: 735886.0802629595|gasflow: 14925.151629663811|tempo: 0.11999999999999998|Qlres: 25.042200720912433|pp: 640892.5623826219|stage: 3.0|PcsgB: 804194.7477668088|
Lslg: 15.3|v0: -0.1261984526584406|PtbgT: 612977.43979328|Hplg: -0.001216710764494157|Ltbg: 0.02301098925863501|PcsgT: 735886.0802629595|gasflow: 14925.151629663811|tempo: 0.12999999999999998|Qlres: 25.042200720912433|pp: 640892.5623826219|stage: 3.0|PcsgB: 804194.7477668088|
Lslg: 15.3|v0: -0.13394684688263014|PtbgT: 612975.8053834086|Hplg: 0.0|Ltbg: 0.028758439993621054|PcsgT: 739394.2377541802|gasflow: 14919.630896204284|tempo: 0.13999999999999999|Qlres: 25.0329377453092|pp: 640897.1978621787|stage: 3.0|PcsgB: 808028.5501778702|
Lslg: 15.3|v0: -0.13394684688263014|PtbgT: 612975.8053834086|Hplg: 0.0|Ltbg: 0.028758439993621054|PcsgT: 739394.2377541802|gasflow: 14919.630896204284|tempo: 0.15|Qlres: 25.0329377453092|pp: 640897.1978621787|stage: 3.0|PcsgB: 808028.5501778702|
Lslg: 15.3|v0: -0.13394684688263014|PtbgT: 612975.8053834086|Hplg: 0.0|Ltbg: 0.028758439993621054|PcsgT: 739394.2377541802|gasflow: 14919.630896204284|tempo: 0.16|Qlres: 25.0329377453092|pp: 640897.1978621787|stage: 3.0|PcsgB: 808028.5501778702|
Lslg: 15.3|v0: -0.14569054810870624|PtbgT: 612974.9297812631|Hplg: -0.0014306938703635627|Ltbg: 0.03163136696883743|PcsgT: 741148.3055291884|gasflow: 14916.864999243659|tempo: 0.17|Qlres: 25.028296978596742|pp: 640889.9368156618|stage: 3.0|PcsgB: 809945.4393944518|
Lslg: 15.3|v0: -0.14569054810870624|PtbgT: 612974.9297812631|Hplg: -0.0014306938703635627|Ltbg: 0.03163136696883743|PcsgT: 741148.3055291884|gasflow: 14916.864999243659|tempo: 0.18000000000000002|Qlres: 25.028296978596742|pp: 640889.9368156618|stage: 3.0|PcsgB: 809945.4393944518|
